id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
153136,"General, Choral and Instrumental Music, Pre-Bachelor",https://www.bachelorsportal.com/studies/153136/general-choral-and-instrumental-music.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-texas,United States,Denton,ONCAMPUS Texas,"21,461",/ year,1 year,On campus,258,"Arts, Design & Architecture"
20180,"Radio, Television and Cinema, B.A.",https://www.bachelorsportal.com/studies/20180/radio-television-and-cinema.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fapply.yasar.edu.tr%2Fcourses%2Fcourse%2F25-ba-radio-television-and-cinema%3Fsearch%3D18518,Turkey,Izmir,Yasar University,"9,017",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
120292,"Fashion Design, B.A.",https://www.bachelorsportal.com/studies/120292/fashion-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Flanding.naba.it%2Fwelcome%2Fstudy-portal%2Fsp-ba-in-fashion-design%2F%3Flang%3Den,Italy,Milano,Nuova Accademia di Belle Arti Milano (NABA),"13,53",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
138373,"Design Management, B.Sc.",https://www.bachelorsportal.com/studies/138373/design-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.aus.edu%2Finfo%2F200135%2Fundergraduate_programs%2F265%2Fbachelor_of_science_in_design_management,United Arab Emirates,Sharjah,American University of Sharjah (AUS),24,/ year,,On campus,258,"Arts, Design & Architecture"
153781,"Theatre Design/Technology, Pre-Bachelor",https://www.bachelorsportal.com/studies/153781/theatre-designtechnology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
46571,"Interior Architecture, B.A.",https://www.bachelorsportal.com/studies/46571/interior-architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.designschool.com%2Finterior-design,Spain,Málaga,Marbella Design Academy,"9,7",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
175082,"Fashion Design / Pattern Making, B.A.",https://www.bachelorsportal.com/studies/175082/fashion-design-pattern-making.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.lisaa.com%2Fen%2Fcourses%2Fcourses-bachelor-fashion-design-pattern-making-paris,,,LISAA School of Design,,,,On campus,258,"Arts, Design & Architecture"
46573,"Fashion Design, B.A.",https://www.bachelorsportal.com/studies/46573/fashion-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.designschool.com%2Ffashion-design,Spain,Málaga,Marbella Design Academy,"9,7",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
46572,"Graphic Design, B.A.",https://www.bachelorsportal.com/studies/46572/graphic-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.designschool.com%2Fgraphic-design,Spain,Málaga,Marbella Design Academy,"9,7",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
153855,"Music Performance, Pre-Bachelor",https://www.bachelorsportal.com/studies/153855/music-performance.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
83108,"Architecture (4 years), Bachelor",https://www.bachelorsportal.com/studies/83108/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.unic.ac.cy%2Fbachelor-degrees%2Farchitecture-baarch-4-years%3Futm_source%3DStudyPortals.eu%26utm_medium%3DProgram-Link%26utm_campaign%3DProgramme-Listing,Cyprus,Nicosia,University of Nicosia,"8,28",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
81715,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/81715/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Flandingieu.ie.edu%2Farchitecture-at-ie-university%3Futm_campaign%3DStudyportals%26utm_medium%3DPortal%26utm_source%3DStudyportals,Spain,Segovia,IE University,"19,8",/ year,5 Years,On campus,258,"Arts, Design & Architecture"
36739,"International Foundation in Architecture, Pre-Bachelor",https://www.bachelorsportal.com/studies/36739/international-foundation-in-architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fnewcastle-university%2Fcourses%2Finternational-foundation-in-architecture%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Newcastle upon Tyne,INTO Newcastle University,"20,716",/ year,9 months,On campus,258,"Arts, Design & Architecture"
138366,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/138366/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.aus.edu%2Finfo%2F200135%2Fundergraduate_programs%2F263%2Fbachelor_of_architecture,United Arab Emirates,Sharjah,American University of Sharjah (AUS),24,/ year,"5 Years, 2 months",On campus,258,"Arts, Design & Architecture"
153051,"Interior Design, Pre-Bachelor",https://www.bachelorsportal.com/studies/153051/interior-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-texas,United States,Denton,ONCAMPUS Texas,"21,461",/ year,1 year,On campus,258,"Arts, Design & Architecture"
153859,"Music, Pre-Bachelor",https://www.bachelorsportal.com/studies/153859/music.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
29443,"Music, B.A.",https://www.bachelorsportal.com/studies/29443/music.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.euc.ac.cy%2Feasyconsole.cfm%3Fid%3D174%26dep%3D163%26program_id%3D30%26lang%3Den%26utm_medium%3Dpremium%26utm_source%3Dstudyportals%26utm_content%3Dmusic,Cyprus,Nicosia,European University Cyprus (EUC),297,/ module,4 Years,On campus,258,"Arts, Design & Architecture"
160258,"FD in Music and Production (HEFCE) Yr1 Programme, Preparation Course",https://www.bachelorsportal.com/studies/160258/fd-in-music-and-production-yr1-programme.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.lscollege.ac.uk%2Fcourses%2Fmusic%2F247-he%2F1761-foundation-degree-in-music-and-production,United Kingdom,London,Lewisham Southwark College,0,/ year,7 months,On campus,258,"Arts, Design & Architecture"
143167,"Interior Design, Bachelor",https://www.bachelorsportal.com/studies/143167/interior-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fint.mef.edu.tr%2Fen,Turkey,Istanbul,MEF University,"10,5",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
136030,"Humanities and Cultural Studies - Film and New Media Studies, B.A.",https://www.bachelorsportal.com/studies/136030/humanities-and-cultural-studies-film-and-new-media-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1718%26category%3Dmajors%26display%3Ddetail%26maj%3DHCS%26deg%3DBA%26conc%3DFMSC,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
23637,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/23637/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fmmr.fadf.ieu.edu.tr%2Fen,Turkey,Izmir,Izmir University of Economics,"7,514",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
136011,"Dance - Ballet, Bachelor",https://www.bachelorsportal.com/studies/136011/dance-ballet.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fhubs.ly%2FH02cjWn0,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
17754,"Art History, B.A.",https://www.bachelorsportal.com/studies/17754/art-history.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fnetcommunity.johncabot.edu%2Fnew-inquiry-form-pages%2Frequest-info---studyportals,Italy,Roma,"John Cabot University, Rome Italy","20,525",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
153116,"Dance, Pre-Bachelor",https://www.bachelorsportal.com/studies/153116/dance.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-texas,United States,Denton,ONCAMPUS Texas,"21,461",/ year,1 year,On campus,258,"Arts, Design & Architecture"
41255,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/41255/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fen.kemerburgaz.edu.tr%2Fen%2Facademic-units%2Fschools%2Fschool-of-engineering-and-natural-sciences%2Fbachelor-of-architecture%2Fundergraduate-program,Turkey,Istanbul,Istanbul Kemerburgaz University,"7,299",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
114678,"Music Performance, Bachelor",https://www.bachelorsportal.com/studies/114678/music-performance.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fhubs.ly%2FH02cjWn0,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
20358,"Music, B.A.",https://www.bachelorsportal.com/studies/20358/music.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fapply.yasar.edu.tr%2Fcourses%2Fcourse%2F27-ba-music%3Fsearch%3D18518,Turkey,Izmir,Yasar University,"9,017",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
67735,"Music Education, B.A.",https://www.bachelorsportal.com/studies/67735/music-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fba-music-education%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
26273,"Textile Design, BDes",https://www.bachelorsportal.com/studies/26273/textile-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F400158706%3B200160997%3Ba,United Kingdom,Dundee,University of Dundee,"2,038",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
157075,"Interior Design, Bachelor",https://www.bachelorsportal.com/studies/157075/interior-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.isikun.edu.tr%2Fweb%2F927-8240-1-1%2Fisik_university%2Fakademik%2Fmimarlik_ve_tasarim_fakultesi__bolumler_ve_programlar%2Fdepartment_of_interior_architecture_and_environmental_design,Turkey,Istanbul,Isik University,"4,723",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
43298,"Graphic Design (Hons), B.A.",https://www.bachelorsportal.com/studies/43298/graphic-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F317308118%3B145927862%3Bl,United Kingdom,Middlesbrough,Teesside University,"10,361",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
34504,"Film and Television, Bachelor",https://www.bachelorsportal.com/studies/34504/film-and-television.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.bahcesehir.edu.tr%2Facademic%2Fcinematelevision,Turkey,Istanbul,Bahcesehir University,"6,784",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
141071,"International Year One in Art, Design and Media, Pre-Bachelor",https://www.bachelorsportal.com/studies/141071/international-year-one-in-art-design-and-media.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Funiversity-of-gloucestershire%2Fcourses%2Finternational-year-one-in-art-design-and-media%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Cheltenham,INTO University of Gloucestershire,"13,996",/ year,9 months,On campus,258,"Arts, Design & Architecture"
153883,"Jazz Studies, Pre-Bachelor",https://www.bachelorsportal.com/studies/153883/jazz-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
135831,"Theatre - Performance, B.A.",https://www.bachelorsportal.com/studies/135831/theatre-performance.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1617%26category%3Dmajors%26display%3Ddetail%26maj%3DTAR%26deg%3DBA%26conc%3DTAP,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
38479,"International Class, Graduate Certificate",https://www.bachelorsportal.com/studies/38479/international-class.html,"https://www.bachelorsportal.com/search/#q=di-63,261,262|lv-preparation",France,Nantes,L'École de Design Nantes Atlantique,"7,7",/ year,1 year,On campus,258,"Arts, Design & Architecture"
157073,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/157073/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.isikun.edu.tr%2Fweb%2F927-5337-1-1%2Fisik_university%2Fakademik%2Fmimarlik_ve_tasarim_fakultesi__bolumler_ve_programlar%2Fdepartment_of_architecture,Turkey,Istanbul,Isik University,"4,723",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
38737,"Music, Bachelor",https://www.bachelorsportal.com/studies/38737/music.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.bilkent-international.com%2Fbachelor-music,Turkey,Ankara,Bilkent University,"12,452",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
166956,"Industrial Design, Bachelor",https://www.bachelorsportal.com/studies/166956/industrial-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ozyegin.edu.tr%2Fen%2Findustrial-design%2Facademic-program,Turkey,Istanbul,Ozyegin University,"10,305",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
135850,"Theatre - Theatre - Arts, B.A.",https://www.bachelorsportal.com/studies/135850/theatre-theatre-arts.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1617%26category%3Dmajors%26display%3Ddetail%26maj%3DTAR%26deg%3DBA%26conc%3DTAA,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
153779,"Visual and Performing Arts and Design, Pre-Bachelor",https://www.bachelorsportal.com/studies/153779/visual-and-performing-arts-and-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
165320,"Architecture, B.ARCH.",https://www.bachelorsportal.com/studies/165320/architecture.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Farch.tedu.edu.tr%2Fen%2Farch,Turkey,Ankara,TED University,"7,729",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
156190,"Filmmaking and Screen Writing, B.A.",https://www.bachelorsportal.com/studies/156190/filmmaking-and-screen-writing.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uws.ac.uk%2Fbafilmmakingandscreenwriting%2F,United Kingdom,Ayr,University of the West of Scotland,"2,038",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
156065,"Technical Theatre and Production (3rd Year Entry), B.A.",https://www.bachelorsportal.com/studies/156065/technical-theatre-and-production.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uws.ac.uk%2Fbatechnicaltheatre%2F,United Kingdom,Ayr,University of the West of Scotland,"2,038",/ year,2 Years,Blended,258,"Arts, Design & Architecture"
92479,"Interior Decorating, Advanced Diploma",https://www.bachelorsportal.com/studies/92479/interior-decorating.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.torontofilmschool.ca%2Fall%2Fla%2Fsp%2FID%2F,Canada,Toronto,Toronto Film School,"17,319",/ year,"1 year, 6 months",On campus,258,"Arts, Design & Architecture"
66393,"Undergraduate Pathway in Visual and Performing Arts, Pre-Bachelor",https://www.bachelorsportal.com/studies/66393/undergraduate-pathway-in-visual-and-performing-arts.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Funiversity-of-south-florida%2Fprograms%2Fundergraduate-pathway-in-visual-and-performing-arts%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Tampa,INTO University of South Florida,"20,611",/ year,8 months,On campus,258,"Arts, Design & Architecture"
66140,"International Year One in Architecture, Pre-Bachelor",https://www.bachelorsportal.com/studies/66140/international-year-one-in-architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fnewcastle-university%2Fcourses%2Finternational-year-one-in-architecture%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Newcastle upon Tyne,INTO Newcastle University,"20,716",/ year,9 months,On campus,258,"Arts, Design & Architecture"
114686,"Music Studies, B.A.",https://www.bachelorsportal.com/studies/114686/music-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1617%26category%3Dmajors%26display%3Ddetail%26maj%3DMSU%26deg%3DBA,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
120209,"Design, B.A.",https://www.bachelorsportal.com/studies/120209/design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Flanding.naba.it%2Fwelcome%2Fstudy-portal%2Fsp-ba-in-design%2F%3Flang%3Den,Italy,Milano,Nuova Accademia di Belle Arti Milano (NABA),"13,53",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
135881,"Studio Art, Bachelor",https://www.bachelorsportal.com/studies/135881/studio-art.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fhubs.ly%2FH02cjWn0,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
153858,"Music Composition, Pre-Bachelor",https://www.bachelorsportal.com/studies/153858/music-composition.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
20355,"Film Design, B.A.",https://www.bachelorsportal.com/studies/20355/film-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fapply.yasar.edu.tr%2Fcourses%2Fcourse%2F28-ba-film-design%3Fsearch%3D18518,Turkey,Izmir,Yasar University,"9,017",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
152589,"(Hons) Graphics and Illustration, B.A.",https://www.bachelorsportal.com/studies/152589/graphics-and-illustration.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.csvpa.com%2Fart-and-design%2Fba-hons-graphics-and-illustration.htm,United Kingdom,Cambridge,Cambridge School of Visual & Performing Arts,"10,081",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
58993,"International Foundation Programme in Art and Design, Pre-Bachelor",https://www.bachelorsportal.com/studies/58993/international-foundation-programme-in-art-and-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fart-design-foundation,United Kingdom,Coventry,ONCAMPUS Coventry,"15,676",/ year,1 year,On campus,258,"Arts, Design & Architecture"
68652,"Interior Design, B.A.",https://www.bachelorsportal.com/studies/68652/interior-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.mdx.ac.uk%2Fcourses%2Fundergraduate%2Finterior-design,United Kingdom,London,Middlesex University,"10,361",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
68569,"Graphic Design, B.A.",https://www.bachelorsportal.com/studies/68569/graphic-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.mdx.ac.uk%2Fcourses%2Fundergraduate%2Fgraphic-design,United Kingdom,London,Middlesex University,"10,361",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
74810,"(Hons) Interior Design, B.A.",https://www.bachelorsportal.com/studies/74810/interior-design.html,https://www.bachelorsportal.com/search/#q=di-262|lv-preparation,United Kingdom,Manchester,Manchester Metropolitan University,"10,361",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
169643,"Digital and Interaction Design, B.A.",https://www.bachelorsportal.com/studies/169643/digital-and-interaction-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.btk-fh.de%2Fen%2Fprogram%2Fdigital-interaction-design%2F%3FpartnerID%3D205960,Germany,Berlin,BTK - University of Arts & Design,665,/ module,"3 Years, 6 months",On campus,258,"Arts, Design & Architecture"
152644,"Foundation semester for Art, Pre-Bachelor",https://www.bachelorsportal.com/studies/152644/foundation-semester-for-art.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.metropolitan.hu%2Fen%2Fprograms%2F88%2Fpreparatory-programs.html,Hungary,Budapest,Budapest Metropolitan University,4,/ year,6 months,On campus,258,"Arts, Design & Architecture"
140248,"International Foundation in Architecture, Pre-Bachelor",https://www.bachelorsportal.com/studies/140248/international-foundation-in-architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fqueens-university-belfast%2Fcourses%2Finternational-foundation-in-architecture%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Belfast,INTO Queen's University Belfast,"17,916",/ year,9 months,On campus,258,"Arts, Design & Architecture"
65897,"Photography, B.A.",https://www.bachelorsportal.com/studies/65897/photography.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.metropolitan.hu%2Fart%2Fprograms%2Fprograms-in-hungarian%2Fba-programs-in-hungarian%2Fphotography,Hungary,Budapest,Budapest Metropolitan University,"4,5",/ year,3 Years,On campus,258,"Arts, Design & Architecture"
153780,"Theatre Directing, Pre-Bachelor",https://www.bachelorsportal.com/studies/153780/theatre-directing.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,258,"Arts, Design & Architecture"
41213,"Graphic Design, B.A.",https://www.bachelorsportal.com/studies/41213/graphic-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fen.kemerburgaz.edu.tr%2Fen%2Facademic-units%2Fschools%2Fschool-of-fine-arts-and-design%2Fbachelor-of-arts-in-graphic-design%2Fundergraduate-program%2Feducational-objectives,Turkey,Istanbul,Istanbul Kemerburgaz University,"7,299",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
160678,"Arts Administration, B.A.",https://www.bachelorsportal.com/studies/160678/arts-administration.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ubishops.ca%2Facademic-programs%2Ffaculty-of-arts-and-science%2Fhumanities%2Farts-administration%2F,Canada,Sherbrooke,Bishop’s University,374,/ credit,4 Years,On campus,258,"Arts, Design & Architecture"
66696,"Undergraduate Pathway in the Arts, Pre-Bachelor",https://www.bachelorsportal.com/studies/66696/undergraduate-pathway-in-the-arts.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fdrew-university%2Fprograms%2Fundergraduate-pathway-in-the-arts%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Madison,INTO New York at Drew,"38,646",/ year,2 Years,On campus,258,"Arts, Design & Architecture"
101060,"Foundation in Art and Design, Pre-Bachelor",https://www.bachelorsportal.com/studies/101060/foundation-in-art-and-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10108%26pid%3D11012%26sid%3D,United Kingdom,London,London College of Contemporary Arts,"6,048",/ year,9 months,On campus,258,"Arts, Design & Architecture"
153323,"Graphic Design, HND",https://www.bachelorsportal.com/studies/153323/graphic-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10108%26pid%3D11012%26sid%3D,United Kingdom,London,London College of Contemporary Arts,"3,36",/ year,2 Years,On campus,258,"Arts, Design & Architecture"
143160,"Architecture, Bachelor",https://www.bachelorsportal.com/studies/143160/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Farch.mef.edu.tr%2Fen,Turkey,Istanbul,MEF University,"10,5",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
80377,"Architecture, B.Sc.",https://www.bachelorsportal.com/studies/80377/architecture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fcalendar.athabascau.ca%2Fundergrad%2Fcurrent%2Fpage03_41.php%3Futm_source%3Dstudy_portals%26utm_campaign%3Dprograms-2017_europe%26utm_medium%3Dreferral,,,Athabasca University,"6,99",/ year,4 Years,Online,258,"Arts, Design & Architecture"
83290,"Fine Art, B.A.",https://www.bachelorsportal.com/studies/83290/fine-art.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.unic.ac.cy%2Fbachelor-degrees%2Ffine-art-ba-4-years%3Futm_source%3DStudyPortals.eu%26utm_medium%3DProgram-Link%26utm_campaign%3DProgramme-Listing,Cyprus,Nicosia,University of Nicosia,"6,997",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
159147,"Graphic Design, HNC",https://www.bachelorsportal.com/studies/159147/graphic-design.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10108%26pid%3D11012%26sid%3D,United Kingdom,London,London College of Contemporary Arts,"6,72",/ year,1 year,On campus,258,"Arts, Design & Architecture"
41215,"Plastic Arts, B.A.",https://www.bachelorsportal.com/studies/41215/plastic-arts.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fen.kemerburgaz.edu.tr%2Fen%2Facademic-units%2Fschools%2Fschool-of-fine-arts-and-design%2Fbachelor-of-arts-in-plastic-arts%2Fundergraduate-program%2Feducational-objectives,Turkey,Istanbul,Istanbul Kemerburgaz University,"7,299",/ year,4 Years,On campus,258,"Arts, Design & Architecture"
59011,"Art and Design, Pre-Bachelor",https://www.bachelorsportal.com/studies/59011/art-and-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Flondon-sbu-international-undergraduate-foundation-art-design-prebachelor,United Kingdom,London,ONCAMPUS London South Bank,"14,449",/ year,9 months,On campus,258,"Arts, Design & Architecture"
159148,"Photography, HNC",https://www.bachelorsportal.com/studies/159148/photography.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10108%26pid%3D11012%26sid%3D,United Kingdom,London,London College of Contemporary Arts,"6,72",/ year,1 year,On campus,258,"Arts, Design & Architecture"
153326,"Photography, HND",https://www.bachelorsportal.com/studies/153326/photography.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10108%26pid%3D11012%26sid%3D,United Kingdom,London,London College of Contemporary Arts,"3,36",/ year,2 Years,On campus,258,"Arts, Design & Architecture"
26452,"Architecture, MArch",https://www.bachelorsportal.com/studies/26452/architecture.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F400158181%3B200160997%3Bx,United Kingdom,Dundee,University of Dundee,"2,038",/ year,5 Years,On campus,258,"Arts, Design & Architecture"
